Comparison|||The company had a tax credit of $1.4 million|||In the year-earlier quarter, the tax credit was $3.3 million
Comparison|||Their reaction was to do nothing and ride it out|||He said Sassy will keep its irreverent tone, but added, "We will keep a close watch on the editorial content of the magazine
Comparison|||Working Woman and Working Mother have operated as part of Working Woman/McCall's Group, a less-than-successful joint venture between Mr. Lang and Time Warner Inc|||The joint venture is being undone, with McCall's magazine being sold last summer to the New York Times Co. 's Magazine Group for about $80 million, and Time Warner agreeing to sell back its 50% interest in Working Woman and Working Mother to Mr. Lang
Comparison|||the joint venture with Mr. Lang wasn't a good one|||The venture, formed in 1986, was supposed to be Time's low-cost, safe entry into women's magazines
Comparison|||The venture, formed in 1986, was supposed to be Time's low-cost, safe entry into women's magazines|||Mr. Lang surprised Time soon after joining forces when he said he would negotiate rates individually with advertisers, a practice common in broadcasting but considered taboo by magazine publishers
Comparison|||In a statement issued after the meeting, the aerospace giant said it won't increase its offer although adjustments within the proposed pay-and-benefit mix are possible|||Machinists already have rejected a proposal that called for a 4% pay increase and 8% bonus in the first year
Comparison|||The company will not budge on anything|||As the strike enters its 15th day today, some members are getting nervous but the majority of the 55,000 Machinists are prepared to "wait it out as long as it takes
Comparison|||Yet they somehow think that Wall Street is indifferent to losing the tax cut that seemed so close Friday morning and is now problematic|||The market rebound Monday followed weekend assurances from Mr. Darman that the administration has other plans to win the cut, which is alive and well
Comparison|||That is, with capital gains cut, the glue of the 1986 accord will be gone, and political realities will push up income-tax rates|||The counter-argument is that if he and his fellow Democrats are successful in killing the president's proposal, the revenue gap will open up tremendously in 1990 because of the weakened economy
Comparison|||The ground ruptured along a 20-to-30-mile stretch of the San Andreas Fault on Tuesday|||In 1906, the rupture was 300 miles long and a couple feet wide
Comparison|||The attention span of the public is short|||We've known for years and years we've got lots of old {pre-1950s} unreinforced brick and masonry buildings
Comparison|||Reinforcing such old building stock comes down to money|||It's a danger
Comparison|||The companies just gave back what they had reserved for|||Now, they'll have to increase their coffers to protect for the future and that means rate increases
Comparison|||Safeco fell 1/8 to 32 5/8 on 462,900 shares|||Ohio Casualty rose 1/4 to 51 3/4 on 137,200 shares
Comparison|||St. Paul Cos. jumped 2 to 59 3/4 on 517,500 shares|||Academy Insurance fell 1/32 to 1 3/16
Comparison|||In other trading, Medco Containment Services gained 7/8 to 15 on 1.9 million shares after reporting a loss for the first quarter, which ended Sept. 30|||The company earned $6.6 million in the year-earlier quarter
Comparison|||Three of the family members, Max and his two sons, Lenny and Joey, live off the flesh: Max is a retired butcher, Lenny a pimp and Joey an aspiring boxer|||Sam, Max's brother, has escaped the flesh by working as a liveried chauffeur and never seeking a wife
Comparison|||Curiously, Randall Arney as Teddy seems the only cast member unable to get beyond the zombie approach to a Pinter character|||As Ruth, Moira Harris begins almost immediately to overpower each of the men
Comparison|||Within a year he hopes Steppenwolf will move into a new 500-seat theater on that site|||The troupe currently performs in a converted dairy that seats 211 and provides little capacity for staging anything beyond a simple one-set production
Comparison|||The company reported third-quarter operating profit of 37 cents a share, compared with 12 cents a share a year earlier|||A third-quarter charge of $3.5 million related to planned restaurant closings resulted in a net loss for the quarter
Comparison|||Employers Casualty, which reported a $53.9 million third-quarter loss late Friday, fell 2 1/4 to 13 3/4.|||Employers Casualty had a loss of $3.6 million in the year-earlier quarter
Comparison|||The loss came after a $23.3 million addition to loan-loss reserves|||The bank made a $4.5 million provision in the 1988 quarter
